Food,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Kelompok,img url
cows milk,660,32,40,36,0,48,3,https://storage.googleapis.com/caps-01/cows%20milk.jpg
Susu rendah lemak,360,36,0,0,0,52,4,https://storage.googleapis.com/caps-01/lowfat%20milk.jpg
Goats' milk,165,8,10,8,0,11,1,https://storage.googleapis.com/caps-01/goats%20milk.jpg
Cheese,240,30,11,10,0,6,4,https://storage.googleapis.com/caps-01/cheese.jpg
Eggs Scrambled or fried,220,13,16,14,0,1,7,https://storage.googleapis.com/caps-01/scrambled%20egg.jpg
Yolks,120,6,10,8,0,0,1,https://storage.googleapis.com/caps-01/yolks.jpg
Mayonnaise,110,0,12,5,0,0,6,https://storage.googleapis.com/caps-01/mayonnaise.jpg
Beef,245,23,16,15,0,0,4,https://storage.googleapis.com/caps-01/beef.jpg
Hamburger,245,21,17,15,0,0,4,https://storage.googleapis.com/caps-01/beef.jpgg
Roast beef,390,16,36,35,0,0,3,https://storage.googleapis.com/caps-01/roast%20beef.jpg
Steak,330,20,27,25,0,0,4,https://storage.googleapis.com/caps-01/steak.jpg
Corned beef,185,22,10,9,0,0,0,https://storage.googleapis.com/caps-01/corned%20beef.jpg
Corned beef hash canned,120,12,8,7,0,6,1,https://storage.googleapis.com/caps-01/corned%20beef%20hash%20canned.jpg
Fried chicken,290,30,18,15,11,0,2,https://storage.googleapis.com/caps-01/fried%20chiken.jpg
Roasted chicken,290,25,20,16,0,0,4,https://storage.googleapis.com/caps-01/roasted%20chiken.jpg
Duck,337,19,28,9,0,0,4,https://storage.googleapis.com/caps-01/duck%20meat.jpg
Lamb,294,25,20,9,0,0,4,https://storage.googleapis.com/caps-01/lamb.jpg
Crab meat,90,14,2,0,0,1,1,https://storage.googleapis.com/caps-01/lamb.jpg
Fish sticks fried,200,19,10,5,0,8,0,https://storage.googleapis.com/caps-01/fish%20sticks%20fried.jpg
Sardines,180,22,9,4,0,0,0,https://storage.googleapis.com/caps-01/sardines.jpg
Scallops,104,18,8,0,0,10,0,https://storage.googleapis.com/caps-01/roast%20beef.jpgg
Shrimp,110,23,1,0,0,0,0,https://storage.googleapis.com/caps-01/shrimp.jpg
Tuna,170,25,7,3,0,0,0,https://storage.googleapis.com/caps-01/tuna.jpg
Beans,25,1,0,0,0.08,6,6,https://storage.googleapis.com/caps-01/beans.jpg
Broccoli,45,5,0,0,1.09,8,6,https://storage.googleapis.com/caps-01/broccoli.jpg
Carrots,45,1,0,0,0.09,10,6,https://storage.googleapis.com/caps-01/carrots.jpg
Corn,92,3,1,0,0.08,21,6,https://storage.googleapis.com/caps-01/corn.jpg
French-fried,155,-1,7,3,0.04,20,6,https://storage.googleapis.com/caps-01/french%20fried.jpg
Potato chips,110,1,7,4,0,10,6,https://storage.googleapis.com/caps-01/potato%20chips.jpg
Spinach,26,3,0,0,1,3,6,https://storage.googleapis.com/caps-01/spinach.jpg
Sweet potatoes,155,2,1,0,1,36,6,https://storage.googleapis.com/caps-01/sweet%20potatoes.jpg
Tomatoes,50,2,0,0,1,9,6,https://storage.googleapis.com/caps-01/tomatoes.jpg
Tomato juice,50,2,0,0,0.06,10,6,https://storage.googleapis.com/caps-01/tomato%20juice.jpg
